name,address,phone,type,email,lat,lon,method,score,confidence,match_method,money
"Мини-центр ""Happy Baby""","ул. Cвободная, 20/87","87776154415, 87776154415",дошкольный мини-центр,Olesyasyprunova@gmail.com,43.344616,76.959933,,,low,,yes
"Детский сад ""Жансая-Сәт""","ул. Зимняя, 18Б","87018241933, 87272519755",детский сад,rifkat_uvaliev@mail.ru,43.353027,76.987416,yandex_dedup,0.7368421052631579,low,,yes
"Ясли-сад ""ALMAS ADAM""","ул. Рудаки, 95","87002045050, 87273824855",ясли-сад,sadik.almasadam@mail.ru,43.3068806,76.9366416,nominatim,,medium,,yes
"Мини-центр ""АЛМАРКС-А""","мкр. Алтай 1, 25/2","87475994167, 87000888081",дошкольный мини-центр,detsad_almarks@mail.ru,43.3467189,76.9901921,,,low,clean_retry,yes
"Детский сад ""Еркем-ай""","ул. Парасат, 1","87762807555, 87762807555",детский сад,edb_07@mail.ru,43.209643,76.604814,nominatim,,medium,,yes
Детский сад «Карусель»,"ул. Стахановская, 19","87012233635, 87012233635",детский сад,renelina@mail.ru,43.3201482,76.9523675,nominatim_dedup,0.7222222222222222,low,,yes
"Детский сад ""Зерде""","ул. Стасова, 34","87023831991, 87073511656",детский сад,toozerde@mail.ru,43.223754,76.9640614,fuzzy,0.8333333333333334,high,,yes
"Детский сад ""Куанар""","ул. Топчиева, 31В","87017605916, 87272278107",детский сад,tookuanar@mail.ru,43.3336471,76.9941176,nominatim_dedup,0.7647058823529411,low,,yes
"Детский сад ""Карусель"" 2","ул. Толстого, 5 В","87012233635, 87272214111",детский сад,renelina@mail.ru,43.3362936,76.9508727,,,low,clean_retry,yes
"Детский сад ""Биржан К""","ул. Зимняя, 2","87759933766, 87272514858",детский сад,detsad_birzhan@mail.ru,43.353296,76.989231,yandex_dedup,0.7777777777777778,low,,yes
"Детский сад ""Адель&F""","пр. Суюнбая, 661","87014849990, 87273828953",детский сад,adeltoo@mail.ru,43.3529882,76.9744302,nominatim_dedup,0.7428571428571429,low,,yes
"Детский сад ""Bakutalemi""","ул. Каракалпакская, 12","87083577148, 87083577148",детский сад,bakutalemi62@mail.ru,43.2964587,76.9633792,nominatim,,medium,,yes
"Детский сад ""Кокетай""","ул. Дунентаева, 8/1","87473793485, 87272519975",детский сад,asemsemen@mail.ru,43.35616,76.995537,yandex_dedup,0.7428571428571429,low,,yes
"Детский сад «АкЕрке""","ул. Белбулак, 20","87476204543, 87276204543",детский сад,gulnara.boranbae@mail.ru,43.3054565,76.9881967,nominatim_dedup,0.8108108108108109,high,,yes
"Детский сад ""Балдаурен""","ул. Ижевская, 33","87018260760, 87018260760",детский сад,sal2502@mail.ru,43.2943009,76.9627593,nominatim_dedup,0.75,low,,yes
"Детский сад ""Болашак 2050""","ул. Жаяу Муса, 197","87772438008, 87273857002",ясли-сад,bolahak_2050@mail.ru,43.2322669,76.849475,fuzzy,0.7317073170731707,low,,yes
"Детский сад ""Кошахан""","22-я улица, 46","87056600228, 87771157838",детский сад,ktg_69@mail.ru,43.3171449,76.9852551,nominatim_dedup,0.7428571428571429,low,,yes
"Детский сад ""Zeine kids""","ул. Сарыарка, 1/3","87015195166, 87015195166",детский сад,dinara_80_80@mail.ru,43.2966236,76.9768604,nominatim,,medium,,yes
"Детский сад ""Бақ - Бала""","ул. Баймагамбетова, 82/4","87021920717, 87021920717",детский сад,bak.bala@mail.ru,43.3123293,76.9702777,nominatim_dedup,0.7428571428571429,low,,yes
"Детский сад ""3 Кита""","ул. Щелково, 1","87472212438, 87003555207",детский сад,3_kita_almaty@bk.ru,43.3296632,76.9651669,nominatim_dedup,0.7647058823529411,low,,yes
"Детский ясли-сад ""Мурзилка-2021""","11-я улица, 9","87021067272, 87022727026",ясли-сад,gainiewa@mail.ru,43.2247541,76.9503272,nominatim,,medium,,yes
"Детский сад ""Айтөре kids""","ул. Тараз, 54","87081611374, 87081611374",детский сад,aitorekids@mail.ru,43.2013593,76.7869451,nominatim,,medium,,yes
"Детский сад ""Korkem-baby""","ул. Орджоникидзе, 269/22","87014109090, 87014109090",детский сад,korkem-baby@mail.ru,43.3277726,76.9664777,nominatim,,medium,,yes
"Детский ясли-сад ""Еркетай""","ул. Соболева, 164","87076441209, 87272519975",ясли-сад,asemsemen@mail.ru,43.3627423,77.0005739,nominatim_dedup,0.7441860465116279,low,,yes
"Детский сад ""Sabira-A""","мкр. Жас қанат, 526А","87472201879, 87472201879",детский сад,too.sabira@mail.ru,43.3272356,76.9793888,,,low,clean_retry,yes
"Детский сад ""АЙЗЕРЕ и К""","ул. Казангап, 21","87016169392, 87016169392",детский сад,Ainursad76@mail.ru,43.3801951,77.0098916,nominatim_dedup,0.7804878048780488,low,,yes
"Детский сад ""Mini Club""","ул. Ержанова, 134В","87087615743, 87785166641",детский сад,u.sydygalieva@gmail.com,43.2355367,76.884494,fuzzy,0.7368421052631579,low,,yes
"Детский сад ""Гүл-Ханым""","мкр. Жас канат, 600","87056371123, 87056371123",детский сад,bibigul6969@bk.ru,43.3278315,76.982324,,,low,clean_retry,yes
"Детский сад ""Care Kids""",мкрн Жас Канат 550,"87074966386, 87071376171",детский сад,care.kids23@mail.ru,43.325604,76.981351,,,low,,yes
"Детский сад ""РАЯНА и РАЯНА""","ул. Орджоникидзе, 235/25","87029285335, 87475098524",детский сад,vip.kaukaeva@mail.ru,43.3071878,76.9631383,nominatim,,medium,,yes
Детский сад «Зейн»,"ул. Дулдул, 88","87762062183, 87762602183",детский сад,diana83_kz@mail.ru,43.3089868,76.9217151,fuzzy,0.8148148148148148,high,,yes
"Детский сад ""Alembakuti""","мкр. Жас Канат, 122","87083577148, 87273848286",детский сад,alembakuty62@mail.ru,43.3189879,76.977435,,,low,clean_retry,yes
"Детский сад ""Аврора""","ул. Глинки, 4","87472212438, 87711500330",детский сад,Avrora_territoriya_detstva@bk.ru,43.3251427,76.9555565,nominatim_dedup,0.7647058823529411,low,,yes
Детский сад «Малышарики»,"4-я улица, 10","87079091121, 87079091121",детский сад,adilya-78@mail.ru,43.2616179,76.8252025,nominatim_dedup,0.7368421052631579,low,,yes
"Детский сад ""BAQ JAN""","22-я улица, 34","87021920717, 87021920717",детский сад,bak.jan@mail.ru,43.316103,76.9863989,nominatim_dedup,0.7333333333333333,low,,yes
"Детский сад ""Аяу-Нұр""","15-я улица, 8","87074398438, 87074398438",детский сад,almaty.1987@inbox.ru,43.2512401,76.946326,nominatim_dedup,0.7428571428571429,low,,yes
"Детский сад """"Жан-ұя kids 2""""","ул. Нажимеденова, 37","87027711040, 87027711040",детский сад,aigera_juman@mail.ru,43.1717547,76.868248,nominatim,,medium,,yes
"Детский сад ""BABY BOSS 888""","ул. Сұлтанбаева, 9","87073375925, 87073375925",детский сад,balbayevam@mail.ru,43.2026982,76.8059241,nominatim,,medium,,yes
"Детский сад ""Назым сулу""","ул. Аширбек Сыгай, 12","87762991899, 87762991899",детский сад,Nazymsulu2023@gmail.com,43.2274347,76.7879176,nominatim,,medium,,yes
"Детский сад ""Береке - Мармар""","ул. Береке, 40","87475000622, 87475000622",детский сад,bereke.marmar@mail.ru,43.2081825,76.7978342,nominatim_dedup,0.8181818181818182,high,,yes
"Ясли сад ""Жануя-2023""","ул. Мыңжылқы, 1","87471276470, 87471276470",ясли-сад,Janyia-2022@internet.ru,43.2117314,76.787648,fuzzy,0.7647058823529411,low,,yes
"Детский сад ""Дарын2024""","ул. Ер Төстік, 20","87058756170, 87058756170",детский сад,daryn.sad.24@mail.ru,43.191871,76.815331,,,low,,yes
"Детский сад ""Алем""","ул. Нурлы тан, 17","87075533537, 87478844851",детский сад,ail_220222@mail.ru,43.2147516,76.7939429,nominatim_dedup,0.8148148148148148,high,,yes
"Детский сад ""Алматинская математико-лингвистическая школа ""Самай""","ул. Аширбек Сыгай, 124","87051382293, 87273602036",детский сад,zulfira.avutova@mail.ru,43.218245,76.793874,yandex_dedup,,medium,,yes
"Детский сад ""Шапағат""","ул. Таргап, 117","87078709863, 87078709863",детский сад,asd@mail.ru,43.218523,76.7958219,nominatim_dedup,0.7428571428571429,low,,yes
"Детский сад ""PATSHA AAA""","ул. Кенесары хана, 122/1","87075021981, 87083935625",детский сад,patsha_aaa@mail.ru,43.1916531,76.8548719,nominatim,,medium,,yes
"Детский сад ""АруНаз балабақшасы""","ул. Жунисова, 119","87075021981, 87273527080",детский сад,too.arunaz@mail.ru,43.2176799,76.7918574,nominatim,,medium,,yes
"Детский сад ""Munarat Almaty""","ул. Аширбек Сыгай, 96","87085751635, 87085751635",детский сад,munarat_almaty@mail.ru,43.220557,76.792446,yandex_dedup,,medium,,yes
"Детский сад ""ШерАли 2023""","ул. Каракулова, 24","87027415121, 87027415121",детский сад,gulnaz.akbieva@mail.ru,43.2051792,76.8187791,nominatim,,medium,,yes
"Детский сад ""Нұрбала""","ул. Телжан Шонанулы, 78","87071410741, 87071410741",детский сад,dixonti_89@mail.ru,43.1897417,76.8310727,nominatim_dedup,0.7428571428571429,low,,yes
"Детский центр ""Kinder land""","ул. Ш. Айтматова, 71","87018034032, 87018034032",дошкольный мини-центр,fin_db@mail.ru,43.191788,76.815425,yandex,,low,,yes
Детский сад «Алихан»,"ул. Нурпеисова, 204","87075555300, 87075555300",детский сад,Batyrhan.b@bk.ru,43.2076727,76.8235144,nominatim_dedup,0.8235294117647058,high,,yes
"Детский сад ""Сары Балапан""","ул. Тажибаева, 46","87076155683, 87076155683",детский сад,Sary.balapan.23@mail.ru,43.2320921,76.8091905,nominatim_dedup,0.75,low,,yes
"Детский сад ""Малика-2023""","ул. Әшірбек Сығай, 84","87770306489, 87770306489",детский сад,Chudo.sad.18@mail.ru,43.22174,76.791499,,,low,,yes
"Детский сад ""Зейн""","ул. Сейдилда, 5","87076006648, 87052540136",детский сад,zeyin.sadik@gmail.com,43.1943655,76.838002,nominatim_dedup,0.8148148148148148,high,,yes
"Детский сад ""AGANIN KIDS""","ул. Жеруйык, 3/66","87774522255, 87774522255",детский сад,aganin.kids@mail.ru,43.1890635,76.8200412,nominatim,,medium,,yes
"Детский сад ""Ziatker-2023""","ул. Сығай, 39","87071627374, 87071627374",детский сад,gulshat-018@mail.ru,43.2252041,76.7899617,nominatim,,medium,,yes
"Детский сад ""Top Kids 2""","ул. Кенжетаев, 119","87077808184, 87077808184",детский сад,aigera_juman@mail.ru,43.218468,76.792868,yandex,0.7692307692307693,low,,yes
"Детский сад ""Аяла kids""","ул. Береке, 2/13","87782287347, 87272639365",детский сад,aptekaplus_24@mail.ru,43.1733207,76.7979191,nominatim,,medium,,yes
"Детский сад ""Gulder kids""","ул. Даулеткерея, 107","87755420931, 87755420931",детский сад,gulderkids@mail.ru,43.1872417,76.8070239,nominatim,,medium,,yes
"Детский сад ""Аңсаған-К""","ул. Ашимова, 343/2","87784909788, 87784909788",детский сад,dariga.kunai@mail.ru,43.2762646,76.8472693,nominatim_dedup,0.7567567567567568,low,,yes
"Детский сад ""Er-Asul""","ул. Жунисова, 73","87772812266, 87772812266",детский сад,dana_74@mail.ru,43.2215818,76.7893981,nominatim_dedup,0.7333333333333333,low,,yes
"Детский сад ""МЕРЕЙ ОБРАЗОВАТЕЛЬНЫЙ ЦЕНТР""","ул. Кенбаева, 22","87752285094, 87752285094",детский сад,aida.zhaylimicova@mail.ru,43.2006681,76.8226774,nominatim,,medium,,yes
"Детский сад ""Happy kids home""","ул. Дала, 80","87478877720, 87478877720",детский сад,13kids@bk.ru,43.2276607,76.7827371,nominatim,,medium,,yes
"Детский сад ""Би- Тұмар""","ул. Камысдала, 27","87471422225, 87015525565",детский сад,tolkyn-80-01@mail.ru,43.1851918,76.8036761,nominatim_dedup,0.7777777777777778,low,,yes
"Детский сад ""CӘТ-БЕРЕКЕ""","ул. Жунисова, 134/80","87079826412, 87057218939",детский сад,akzeresadik@mail.ru,43.21745,76.791368,yandex_dedup,0.8292682926829268,high,,yes
"Детский сад ""Top Kids""","ул. Кенжетаев, 121","87074033737, 87074033737",детский сад,Topkids.kz@yandex.ru,43.218297,76.792949,yandex,0.7567567567567568,low,,yes
"Детский сад ""Алтын Бала И К""","ул. Тарғап, 115","87072718841, 87273602002",детский сад,zhuldyz_altyn@mail.ru,43.2186427,76.7956221,nominatim,,medium,,yes
"Детский сад ""Young Scholars Academy""","ул. Зеленая, 7","87079558479, 87005052404",детский сад,ysa.almaty@gmail.com,43.2312142,76.7964046,nominatim,,medium,,yes
"Детский сад ""SUNSHINE 2""","ул. Актамберды жырау, 3","87072718841, 87072718841",детский сад,zhuldyz_altyn@mail.ru,43.2243943,76.8047889,nominatim_dedup,0.7692307692307693,low,,yes
"Детский сад ""AzaleaM""","ул. Герольда Бельгера, 55","87078172392, 87078172392",детский сад,azalea2021@mail.ru,43.1952104,76.8385784,nominatim_dedup,0.7333333333333333,low,,yes
"Детский сад ""Aizere 2020""","ул. Жунисова, 2/87","87071115830, 87071115830",детский сад,sadik.aizere2020@mail.ru,43.22645,76.78374,dedup_failed,,medium,,yes
"Детский сад ""ErnarRai""","ул. Аханова, 71","87087055555, 87787779993",детский сад,baekova_1993_kz@mail.ru,43.273457,76.974539,nominatim,,medium,,yes
"Детский сад ""Муслимхан""","ул. Аширбек Сыгай, 47","87076180807, 87076180807",детский сад,botakoz.taskaraeva@gmail.ru,43.2247945,76.7903775,nominatim_dedup,0.7567567567567568,low,,yes
"Детский сад ""Зейінді бала""","ул. Сейтметова, 129","87789777729, 87789777729",детский сад,aigera_juman@mail.ru,43.21496,76.8163318,nominatim,,medium,,yes
"Детский сад ""Нұр Бөбегі и К""","ул. Бердибай, 12","87013779907, 87013779907",детский сад,nurbobegi@mail.ru,43.189773,76.8628881,nominatim,,medium,,yes
"Мини-центр ""Альимран""","ул. Жидели, 17","87474627522, 87273609466",дошкольный мини-центр,alimran71@mail.ru,43.1813026,76.7938294,nominatim,,medium,,yes
"Центр детского развития ""Раяна"", филиал","ул. Кенжетаева, 85","87012098004, 87012098004",детский сад,asultankhan@mail.ru,43.2211347,76.7913065,nominatim,,medium,,yes
"Детский сад ""Жан-ұя kids""","ул. Кенесары хан, 52","87027711040, 87027711040",детский сад,Zhan_uya-kids@mail.ru,43.1771918,76.77866,nominatim,,medium,,yes
"Детский сад ""Планета счастья""","ул. Тополёвая, 43/44","87013800708, 87013800708",дошкольный мини-центр,happyplanetkz@mail.ru,43.261161,76.9732582,nominatim,,medium,,yes
"Детский сад ""Rauan""","ул. 7 линия, 103","87024023228, 87272270084",детский сад,rauan.sadik@bk.ru,43.1975665,76.8438286,nominatim_dedup,0.7857142857142857,low,,yes
"Детский сад ""КАМАЖАЙ 1""","ул. Озерная, 10","87015577986, 87015577986",детский сад,aizhan_bart@mail.ru,43.2425214,76.9210772,fuzzy,0.7368421052631579,low,,yes
"Детский сад ""Уялы Балапан""","ул. Мынжылкы, 1","87776235395, 87711057473",детский сад,balabaksha-balapan.kz@mail.ru,43.1824722,76.7971936,nominatim,,medium,,yes
"Детский сад ""Родничок-5""","ул. Аскарова, 13","87074447604, 87074447604",детский сад,sadikrodnichok2@mail.ru,43.1796777,76.8670406,,,low,clean_retry,yes
"Детский сад ""Айымсұлу""","ул. Сагдиева, 63","87778210885, 87778210885",детский сад,Begim-94-94@mai.ru,43.1891748,76.8274355,nominatim_dedup,0.7222222222222222,low,,yes
"Мини-центр ""Медина-лидер""","ул. Диқан, 21","87714698771, 87273985424",дошкольный мини-центр,medina_lider@mail.ru,43.20419,76.802443,,,low,,yes
"Детский сад ""Мамино счастье""","ул. Жакыпбаева, 14","87756229406, 87756229406",детский сад,bektemiselena@gmail.com,43.2036086,76.8278996,nominatim,,medium,,yes
"Детский сад ""Marzia ana""","ул. Жуалы, 163","87017396386, 87786894114",детский сад,balabaqsha_marzia_ana@mail.ru,43.2212617,76.7959786,nominatim,,medium,,yes
"Детский сад ""Ұлан""","ул. Дархан, 36","87780999957, 87074857002",детский сад,too_ulan2022@mail.ru,43.1651507,76.7889652,nominatim_dedup,0.8461538461538461,high,,yes
"Ясли-сад ""Sabi land Almaty""","ул. Рыскулова, 115","87479213913, 87273394978",детский сад,sabilandalmaty2022@gmail.com,43.2064895,76.7629475,,,low,clean_retry,yes
"Детский сад ""Unicoomkids""","ул. Жунисова, 61","87078149193, 87078149193",дошкольный мини-центр,margarita-kamens@mail.ru,43.2226664,76.7890195,nominatim,,medium,,yes
"Детский сад ""Радуга 2""","ул. Таргап, 109","87077760206, 87273602006",дошкольный мини-центр,83sairan@gmail.com,43.2191901,76.7951078,nominatim_dedup,0.7567567567567568,low,,yes
Мини-центрЕртегі әлемі,"ул. Таргап, 111","87758940486, 87758940486",дошкольный мини-центр,maruan74@mail.ru,43.219013,76.795348,yandex_dedup,,medium,,yes
"Мини-центр ""Медина-А""","Территория СТ Весна 65, 60","87754887997, 87273079885",дошкольный мини-центр,ms.ms.Laura@mail.ru,43.174623,76.795665,,,low,,yes
"Мини-центр ""Нұрбала"" (филиал - 1)","ул. Аспандиярова, 181","87071410741, 87071410741",дошкольный мини-центр,dixonti_89@mail.ru,43.2103047,76.823641,nominatim,,medium,,yes
"Мини-центр ""МерейАН""","ул. Актамберды жырау, 10","87074437790, 87074437790",дошкольный мини-центр,merey.detskiysad@mail.ru,43.2229081,76.8053964,nominatim,,medium,,yes
"Ясли-сад ""Аружан""","ул. Лапина, 39","87473749939, 87473749939",дошкольный мини-центр,too_aruzhan@mail.ru,43.2260965,76.8154718,nominatim,,medium,,yes
"Детский сад ""Happy kids""","ул. Балбыраун, 71","87750522202, 87273072070",детский сад,alsani@mail.ru,43.184699,76.843064,,,low,,yes
"Детский сад ""Нұрлы Таң-1""","ул. Балакаева, 65","87474070320, 87474070320",детский сад,rumil9_Bekbasarova@mail.ru,43.1982818,76.8268927,nominatim,,medium,,yes
"Детский сад ""Балапандар""","ул. Арман, 101Б","87074377740, 87071115830",дошкольный мини-центр,aiganym1523@mail.ru,43.2061068,76.8084807,nominatim,,medium,,yes
"Детский сад ""Актыным""","ул. Жунисова, 53","87751063787, 87272788823",детский сад,aigera_juman@mail.ru,43.2234635,76.7884656,nominatim_dedup,0.7428571428571429,low,,yes
"Детский сад ""Сұңқар""","ул. Айбергенова, 92","87029685555, 87029685555",детский сад,a.sauletai@mail.ru,43.2239316,76.7966676,nominatim_dedup,0.875,high,,yes
"Детский сад ""Нұр Дария""","ул. Айбергенова, 45","87073039907, 87073039907",детский сад,nurdariya.detsad@mail.ru,43.2249713,76.7969375,nominatim_dedup,0.7567567567567568,low,,yes
"Детский сад ""Айдария""","ул. Сагдиев, 59","87057998939, 87272973667",детский сад,Aidarya_777@mail.ru,43.1884364,76.8278591,nominatim_dedup,0.8,low,,yes
"Детский сад при воспитательном центре ""Ақбота"" (филиал)","ул. Жуалы, 41","87714154169, 87272331650",детский сад,V.Akbota_2016@mail.ru,43.2318354,76.789569,nominatim,,medium,,yes
"Детский сад ""АЙЛЫ АМИРЛАН""","ул. Аширбек Сыгай, 99","87055555514, 87055555514",детский сад,amirlan@mail.ru,43.2195747,76.7936617,nominatim,,medium,,yes
"Детский сад ""Тамирис""","ул. Кенесары-Хан, 116","87013692855, 87272995636",детский сад,cvetlaha69@mail.ru,43.178918,76.861329,yandex,0.8,low,,yes
"Детский сад ""Талшын""","ул. Сейитбекова, 43","87715715551, 87715715551",детский сад,musali_77@mail.ru,43.181034,76.845653,yandex,0.7647058823529411,low,,yes
"Детский сад ""Асылым""","ул. Ашимова, 259","87472414887, 87472414887",детский сад,ainash.knk@mail.ru,43.199182,76.822135,yandex,0.7647058823529411,low,,yes
"Детский сад ""Салима-ДК Колибри""","ул. Талжанова, 52","87059063256, 87273672352",детский сад,kolibri.club@mail.ru,43.2027703,76.8218121,nominatim,,medium,,yes
"Детский сад ""АЯНАТ""","ул. Аскарова, 28","87076604700, 87076604700",детский сад,aige_92@mail.ru,43.179328,76.869384,,0.7878787878787878,low,,yes
"Детский сад ""Дария Айша""","ул. Қыдырбеков, 60/1","87479386365, 87078788009",детский сад,Daria-aishasad@mail.ru,43.216049,76.804376,dedup_failed,0.7368421052631579,low,,yes
"Мини-центр ""Ақбота""","ул. Кали Надырова, 59","87018086616, 87273072996",дошкольный мини-центр,aqbotabaqsha@mail.ru,43.1821002,76.8425346,nominatim,,medium,,yes
"Мини-центр ""Леопольд""","мкр. Астана, 38","87078347263, 87078347263",дошкольный мини-центр,ibraev_berik@mail.ru,43.210958,76.8525342,,,low,clean_retry,yes
"Мини-центр ""ABA progress""","ул. Жунисова, 81","87077767631, 87077767631",дошкольный мини-центр,abaprogress2022@gmail.com,43.221028,76.7900243,nominatim,,medium,,yes
"Детский сад ""ALATAU""","ул. Афцинао, 11","87071601565, 87071601565",детский сад,a.a.a_u@mail.ru,43.207955,76.83376,yandex,0.7586206896551724,low,,yes
"Детский клуб ""Балдаурен""","ул. Сланова, 2","87013692855, 87013692855",детский сад,cvetlaha69@mail.ru,43.193016,76.8284938,nominatim,,medium,,yes
"Детский сад ""Айжан-Ырыс""","ул. Сагатова, 4а","87783459668, 87783459668",детский сад,detskiysad.ayzhan@mail.ru,43.2283607,76.8026402,nominatim,,medium,,yes
"Детский сад ""QULYNSHAQ""","ул. Кыдырова, 18","87016006839, 87273818570",детский сад,Liazat888@mail.ru,43.317952,76.948964,,,low,,yes
"Мини-центр ""АВС+(эй би си плюс)""","ул. Бельгера, 59","87475542948, 87475542948",дошкольный мини-центр,abc888.abc@mail.ru,43.1945828,76.8391877,nominatim,,medium,,yes
"Детский сад ""MARY POPPINS""","ул. Кали-Надырова, 98/1","87775498787, 87775498787",детский сад,danik777@inbox.ru,43.181935,76.844306,yandex,,medium,,yes
