name,address,phone,type,email,lat,lon,method,score,confidence,match_method,money
"КГКП ""Ясли сад №19""","ул. Сейфуллина, 557","87476476101, 87272787907",ясли-сад,19balabaqsha@almatybilim.kz,43.2128651,76.8463727,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли сад №11""","ул. Шевченко, 162 К","87473337629, 87273755577",ясли-сад,yaslisad11@bk.ru,43.2308197,76.9552359,fuzzy,0.8235294117647058,high,,no
"ГККП ""Ясли-сад №161""","ул. Утемисова, 109Б","87014595942, 87272637531",ясли-сад,sadik.161@mail.ru,43.297714,76.8612122,fuzzy,0.6842105263157895,low,,no
"КГКП ""Ясли-Сад №78""","ул. Аккайнар, 5","87075606064, 87273853392",ясли-сад,sadic-78@mail.kz,43.3113723,76.8397478,fuzzy,0.8484848484848485,high,,no
"КГУ ""Санаторный ясли-сад №38""","ул. Куприна, 7","87752028496, 87272476831",санаторный ясли-сад,yaslisad-38@mail.ru,43.254965,76.8493093,fuzzy,0.6511627906976745,low,,no
"КГКП ""Ясли-сад №120""","мкр. Зердели, 1/35","87017290939, 87272237128",ясли-сад,120balabaqsha@mail.kz,43.2795773,76.8205314,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №31""","ул. Рыскулова, 284","87077776774, 87272474512",ясли-сад,31balabagsha@almatybilim.kz,43.2489205,76.8389909,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №76""","ул. Актилек, 10/1","87056922758, 87273936865",ясли-сад,76yaslisad@mail.kz,43.2442767,76.9088916,fuzzy,0.8125,high,,no
"КГКП ""Ясли сад №150""","мкр. Аккент, 19А","87711628786, 87273099804",ясли-сад,SAD150_150@mail.ru,43.2445853,76.8181577,fuzzy,0.6842105263157895,low,,no
"КГКП ""Ясли-сад №183""","мкр. Саялы, 50","87027013220, 87272655360",ясли-сад,183balabaqsha@mail.kz,43.3061778,76.8391439,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №177""","ул. Қойтас, 2","87772031281, 87273809424",ясли-сад,177-balabaksha@mail.kz,43.3374625,76.9017359,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-Сад №95""","ул. Суаткол, 39","87472352543, 87273988661",ясли-сад,95balabaqsha@mail.kz,43.2510447,76.8150523,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №1""","ул. Ауезова, 2","87025017827, 87272981007",ясли-сад,1balabqsha@mail.kz,43.3180165,76.8860946,fuzzy,0.8387096774193549,high,,no
"КГКП ""Ясли сад №153""","мкр. Зердели, 31","87017291676, 87272237046",ясли-сад,yaslisad.153@mail.kz,43.2799237,76.821087,fuzzy,0.6842105263157895,low,,no
"ГККП ""Ясли-сад №164""","ул. Жанкожа батыра, 193","87010595755, 87273808763",,detsadik164@mail.kz,43.3058776,76.8531197,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №165""","ул. Жалайыри, 46","87012323773, 87272274829",ясли-сад,sadic165@mail.kz,43.2995028,76.872209,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-Сад №130""","ул. Усть-каменогорская, 1/1","87475319409, 87272248409",ясли-сад,130balabaqsha@mail.kz,43.259582,76.8859896,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №37""","мкр. Нуркент, 13","87272945410, 87272945411",ясли-сад,aiay01@mail.ru,43.2572718,76.8138929,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №81""","мкр. Орбита 2, 20","87772757601, 87273905965",ясли-сад,81balabaqsha@almatybilim.kz,43.2528056,76.8700486,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №140""","ул. Сатпаева, 101/1","87012704588, 87273939333",ясли-сад,140balabaqsha@almatybilim.kz,43.248804,76.891586,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №155""","ул. Сатпаева, 80 А","87774222218, 87273941973",ясли-сад,155@almatybala.kz,43.2327323,76.8867668,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №83""","мкр. Казахфильм, 9","87017655851, 87272992900",ясли-сад,83balabaqsha@almatybilim.kz,43.3061778,76.8391439,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №92""","мкр. Алмагуль, 41","87071027999, 87273962968",ясли-сад,92@almatybala.kz,43.2043114,76.9018634,,,low,nominatim_clean,no
"КГКП ""Ясли-сад №88""","ул. Жандосова, 36а","87082114335, 87272748460",ясли-сад,88sadik@mail.ru,43.232152,76.9032351,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №142""","мкр. Алмагуль, 42/1","87015065999, 87273021373",ясли-сад,det_sad142@mail.ru,43.248804,76.891586,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №91""","ул. Жарокова, 279","87016169392, 87273379752",ясли-сад,91sad@mail.ru,43.2132303,76.9013113,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №152""","ул. Розыбакиева, 202","87073369968, 87273952990",ясли-сад,sadik152@list.ru,43.2265894,76.8920823,nominatim,,medium,,no
"КГУ ""Специальный (коррекционный) ясли-сад №137 для детей с нарушениями слуха""","ул. Айманова, 212","87755672500, 87272740875",специальный ясли-сад,137balabaqsha@almatybilim.kz,43.2350997,76.8607626,fuzzy,0.723404255319149,low,,no
"КГКП ""Ясли-сад №113""","ул. Навои, 330","87029079419, 87273811815",ясли-сад,det_sad113@mail.ru,43.3431624,76.9862995,fuzzy,0.8,low,,no
"КГКП ""Ясли-сад №99""","ул. Жарокова, 294","87473726174, 87273773710",ясли-сад,99@almatybala.kz,43.2034153,76.9058565,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №151""","мкр. Коктем-1, 33","87082762199, 87273775592",ясли-сад,151@almatybala.kz,43.2289624,76.9280339,,,low,nominatim_clean,no
"КГКП ""Ясли-сад №40""","ул. Байсеитовой, 45а","87013774456, 87272672626",ясли-сад,sad-40@bk.ru,43.2404117,76.9442495,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №89""","мкр. Орбита-4, 25Б","87779844346, 87272547301",ясли-сад,89@almatybala.kz,43.1964483,76.8774334,,,low,nominatim_clean,no
"КГКП ""Ясли-сад №108""","ул. Тимирязева, 25","87471379004, 87272608020",ясли-сад,sadik_108@mail.ru,43.2496809,76.9306027,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №75""","пр. Гагарина, 183","87012367443, 87273826235",,sad75sad@mail.ru,43.2173899,76.8967666,,,low,nominatim_clean,no
"КГКП ""Ясли-сад №85""","мкр. Орбита-3, 15","87074400214, 87272499052",ясли-сад,85balabaqsha@almatybilim.kz,43.2001347,76.8758991,,,low,nominatim_clean,no
"КГКП ""Ясли-сад №68""","ул. Шмелева, 20","87079653597, 87273961388",ясли-сад,68balabaqsha@almatybilim.kz,43.2180238,76.890293,nominatim,,medium,,no
"КГКП ""Ясли-сад №69""","ул. Байзакова, 313","87078521030, 87273947315",ясли-сад,69balabaqsha@almatybilim.kz,43.2275994,76.9148758,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №77""","ул. Байзакова, 310","87017277276, 87273762174",ясли-сад,77@almatybala.kz,43.2291503,76.9162445,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №80""","мкр. Орбита-1, 39","87082621777, 87272394307",ясли-сад,80@almatybala.kz,43.2015883,76.8832335,,,low,nominatim_clean,no
"КГУ ""Специальный (коррекционный) ясли-сад №2 для детей с умственной отсталостью (интеллектуальными нарушениями развития)""","ул. Навои, 308","87078573999, 87273540341",ясли-сад,2@almatybala.kz,43.2011717,76.8879743,fuzzy,0.9957081545064378,high,,no
"КГКП ""Ясли-сад №82""","ул. Гагарина, 278/1","87779108025, 87273963936",ясли-сад,82@almatybala.kz,43.2552567,76.8815274,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №72""","ул. Радостовца, 141","87022169782, 87273920505",ясли-сад,metodist72.72@mail.ru,43.2361013,76.8916698,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №87""","ул. Си-Синхая, 14","87015031313, 87273964336",ясли-сад,Sadik87@list.ru,43.21573,76.900378,,,low,,no
"КГКП ""Ясли-сад № 191""","ул. Егизбаева, 7/11","87073615774, 87272322349",ясли-сад,191@almatybala.kz,43.2132303,76.9013113,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №71""","ул. Бухар-Жырау, 62А","87474625980, 87272741425",ясли-сад,71sad_71@mail.ru,43.3558483,76.9232987,fuzzy,0.8235294117647058,high,,no
"КГУ ""Специальный детский сад для детей с тяжелыми нарушениями речи № 26""","мкр. Айнабулак 3, 166А, корпус 1","87714512873, 87273856898",ясли-сад,sadkz26@mail.ru,43.3256739,76.9189003,fuzzy,0.9710144927536232,high,,no
"КГКП ""Ясли-сад №98""","мкр. Айнабулак-2, 63","87012588272, 87272523830",ясли-сад,gsad98@mail.ru,43.3173893,76.9129453,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №169""","мкр. Кокжиек, 65","87076307476, 87273998246",ясли-сад,169detsad@mail.ru,43.3562247,76.922369,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №63""","ул. Шилова, 19","87071445153, 87273908544",ясли-сад,balabaksha-63@yandex.ru,43.267104,76.8951478,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №163""","ул. Казакова, 13А","87714146365, 87272539930",ясли-сад,yaslisad163@mail.ru,43.267104,76.8951478,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №179""","мкр. Айнабулак-3, 165Б","87051450351, 87272254097",ясли-сад,yaslisad179@mail.ru,43.3265142,76.9202,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №51""","ул. Есенова, 205А","87754104606, 87273831540",ясли-сад,yasli_sad51@mail.ru,43.2917512,76.950764,nominatim,,medium,,no
"КГКП ""Ясли-сад №128""","ул. Венеры, 26","87783807825, 87272294935",ясли-сад,128sad@mail.ru,43.3576453,76.9345717,fuzzy,0.6842105263157895,low,,no
"КГКП ""Ясли-сад №94""","пр. Сейфуллина, 293","87478526134, 87273806146",ясли-сад,94balabaqsha@almatybilim.kz,43.1930229,76.8018119,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №102""","мкр. Айнабулак-3, 104а","87013497259, 87272342729",ясли-сад,102_sad@mail.ru,43.3246059,76.9200921,,,low,nominatim_clean,no
"КГКП ""Ясли-сад №97""","мкр. Айнабулак -1, 22г","87075030671, 87273908955",ясли-сад,97detsat@mail.ru,43.3203927,76.911368,,,low,nominatim_clean,no
"КГКП ""Ясли-сад №171""","мкр. Кокжиек, 67","87078739424, 87273805163",ясли-сад,171sadik@mail.ru,43.3558483,76.9232987,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №162""","мкр. Кулагер, 25а","87075721862, 87273778172",ясли-сад,yasli162@bk.ru,43.2365788,76.8262085,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №17""","ул. Тобаякова, 26/28","87477218107, 87273835490",ясли-сад,17sad_00@mail.ru,43.275862,76.9367915,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №67""","ул. Желтоксан, 14","87021044343, 87272468228",ясли-сад,67_balabaksha_zhetys@mail.kz,43.2714452,76.9380928,fuzzy,0.8484848484848485,high,,no
"КГКП ""Ясли-сад №176""","мкр. Кулагер, 52А","87026407055, 87272399539",ясли-сад,kgkp176@mail.ru,43.2441772,76.9335654,fuzzy,0.8235294117647058,high,,no
"КГУ ""Санаторный ясли-сад №103""","мкр. Айнабулак-3, 103","87078083118, 87272946513",ясли-сад,Sad103@mail.ru,43.2540237,76.9216849,fuzzy,0.8727272727272727,high,,no
"КГКП ""Ясли-сад №170""","мкр. Кокмайса, 22Б","87717600990, 87272989248",ясли-сад,170sadik@mail.ru,43.3208379,76.9513628,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №175""","мкр. Кокжиек, 42а","87006464382, 87273375451",ясли-сад,detsad175.175@mail.ru,43.3445027,77.0131104,,,low,nominatim_clean,no
"КГКП ""Ясли-сад №115""","мкр. Самал-2, 22/1","87784857414, 87272621305",ясли-сад,medeo115@mail.ru,43.2299563,76.9564591,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №114""","мкр. Самал-2, 83","87074770572, 87273394683",ясли-сад,114balabaqsha@almatybilim.kz,43.2315203,76.9542302,fuzzy,0.8571428571428571,high,,no
"КГУ ""Специальная дошкольная организация для детей с нарушениями зрения и речи №124""","ул. Назарбаева, 289А","87074789082, 87272627522",ясли-сад,124@almatybala.kz,43.2211453,76.953222,nominatim,,medium,,no
"КГКП ""Ясли-сад №105""","ул. Зенкова, 58","87075799955, 87272918371",ясли-сад,medeo.105@mail.ru,43.2517577,76.958315,fuzzy,0.8571428571428571,high,,no
"ГККП ""Ясли-сад №5""","мкр. Алатау, ул. Жетбаева, 30","87022492272, 87273865912",ясли-сад,5@almatybala.kz,43.2200295,76.8554499,fuzzy,0.8125,high,,no
"ГККП ""Ясли-сад №116""","мкр. Самал-2, 38","87022150271, 87272484358",ясли-сад,medeo.116@mail.ru,43.2308197,76.9552359,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №125""","ул. Армянская, 5А","87071935979, 87272643764",ясли-сад,125@almatybala.kz,43.3306999,76.9460508,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №141""","ул. Погодина, 86","87013759799, 87272399054",ясли-сад,141@almatybala.kz,43.248804,76.891586,fuzzy,0.8235294117647058,high,,no
"КГКП ""Ясли-сад №157""","улица Ибрагимова, 10а","87022031717, 87273865614",ясли-сад,157balabaqsha@almatybilim.kz,43.3584525,77.1397051,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №107""","Многоводная улица, 17","87029224078, 87272919268",ясли-сад,107balabaqsha@almatybilim.kz,43.257038,76.9734159,fuzzy,0.8571428571428571,high,,no
"КГКП ""Ясли-сад №126""","ул. Янушкевич, 57","87476664438, 87272245526",ясли-сад,126@almatybala.rz,43.2441772,76.9335654,fuzzy,0.8235294117647058,high,,no
"ГККП ""Ясли-сад №106""","ул. Барибаева, 46","87015760213, 87272251481",ясли-сад,medeo.106@mail.ru,43.2585023,76.964088,nominatim,,medium,,no
"КГКП ""Ясли-сад №156""","ул. Калдаякова, 72","87081762395, 87272918961",ясли-сад,medeo.156@mail.ru,43.2529013,76.9598161,fuzzy,0.8571428571428571,high,,no
