name,address,phone,type,email
"Детский сад ""Болашак 2050""","ул. Жаяу Муса, 197","87772438008, 87273857002",ясли-сад,bolahak_2050@mail.ru
"Детский сад ""Кошахан""","22-я улица, 46","87056600228, 87771157838",детский сад,ktg_69@mail.ru
"Детский сад ""Zeine kids""","ул. Сарыарка, 1/3","87015195166, 87015195166",детский сад,dinara_80_80@mail.ru
"Детский сад ""Бақ - Бала""","ул. Баймагамбетова, 82/4","87021920717, 87021920717",детский сад,bak.bala@mail.ru
"Детский сад ""3 Кита""","ул. Щелково, 1","87472212438, 87003555207",детский сад,3_kita_almaty@bk.ru
"Детский ясли-сад ""Мурзилка-2021""","11-я улица, 9","87021067272, 87022727026",ясли-сад,gainiewa@mail.ru
"Детский сад ""Айтөре kids""","ул. Тараз, 54","87081611374, 87081611374",детский сад,aitorekids@mail.ru
"Детский сад ""Korkem-baby""","ул. Орджоникидзе, 269/22","87014109090, 87014109090",детский сад,korkem-baby@mail.ru
"Детский ясли-сад ""Еркетай""","ул. Соболева, 164","87076441209, 87272519975",ясли-сад,asemsemen@mail.ru
"Детский сад ""Sabira-A""","мкр. Жас қанат, 526А","87472201879, 87472201879",детский сад,too.sabira@mail.ru
"Детский сад ""АЙЗЕРЕ и К""","ул. Казангап, 21","87016169392, 87016169392",детский сад,Ainursad76@mail.ru
"Детский сад ""Mini Club""","ул. Ержанова, 134В","87087615743, 87785166641",детский сад,u.sydygalieva@gmail.com
"Детский сад ""Гүл-Ханым""","мкр. Жас канат, 600","87056371123, 87056371123",детский сад,bibigul6969@bk.ru
"Детский сад ""Care Kids""","ул. Кострамская, 52","87074966386, 87071376171",детский сад,care.kids23@mail.ru
"Детский сад ""РАЯНА и РАЯНА""","ул. Орджоникидзе, 235/25","87029285335, 87475098524",детский сад,vip.kaukaeva@mail.ru
Детский сад «Зейн»,"ул. Дулдул, 88","87762062183, 87762602183",детский сад,diana83_kz@mail.ru
"Детский сад ""Alembakuti""","мкр. Жас Канат, 122","87083577148, 87273848286",детский сад,alembakuty62@mail.ru
"Детский сад ""Аврора""","ул. Глинки, 4","87472212438, 87711500330",детский сад,Avrora_territoriya_detstva@bk.ru
Детский сад «Малышарики»,"4-я улица, 10","87079091121, 87079091121",детский сад,adilya-78@mail.ru
"Детский сад ""BAQ JAN""","22-я улица, 34","87021920717, 87021920717",детский сад,bak.jan@mail.ru
"Детский сад ""Аяу-Нұр""","15-я улица, 8","87074398438, 87074398438",детский сад,almaty.1987@inbox.ru
"Детский сад """"Жан-ұя kids 2""""","ул. Нажимеденова, 37","87027711040, 87027711040",детский сад,aigera_juman@mail.ru
"Детский сад ""BABY BOSS 888""","ул. Сұлтанбаева, 9","87073375925, 87073375925",детский сад,balbayevam@mail.ru
"Детский сад ""Назым сулу""","ул. Аширбек Сыгай, 12","87762991899, 87762991899",детский сад,Nazymsulu2023@gmail.com
"Детский сад ""Береке - Мармар""","ул. Береке, 40","87475000622, 87475000622",детский сад,bereke.marmar@mail.ru
"Ясли сад ""Жануя-2023""","ул. Мыңжылқы, 1","87471276470, 87471276470",ясли-сад,Janyia-2022@internet.ru
"Детский сад ""Дарын2024""","ул. Ер Төстік, 20","87058756170, 87058756170",детский сад,daryn.sad.24@mail.ru
"Детский сад ""Алем""","ул. Нурлы тан, 17","87075533537, 87478844851",детский сад,ail_220222@mail.ru
"Детский сад ""Алматинская математико-лингвистическая школа ""Самай""","ул. Аширбек Сыгай, 124","87051382293, 87273602036",детский сад,zulfira.avutova@mail.ru
"Детский сад ""Шапағат""","ул. Таргап, 117","87078709863, 87078709863",детский сад,asd@mail.ru
"Детский сад ""PATSHA AAA""","ул. Кенесары хана, 122/1","87075021981, 87083935625",детский сад,patsha_aaa@mail.ru
"Детский сад ""АруНаз балабақшасы""","ул. Жунисова, 119","87075021981, 87273527080",детский сад,too.arunaz@mail.ru
"Детский сад ""Munarat Almaty""","ул. Аширбек Сыгай, 96","87085751635, 87085751635",детский сад,munarat_almaty@mail.ru
"Детский сад ""ШерАли 2023""","ул. Каракулова, 24","87027415121, 87027415121",детский сад,gulnaz.akbieva@mail.ru
"Детский сад ""Нұрбала""","ул. Телжан Шонанулы, 78","87071410741, 87071410741",детский сад,dixonti_89@mail.ru
"Детский центр ""Kinder land""","ул. Ш. Айтматова, 71","87018034032, 87018034032",дошкольный мини-центр,fin_db@mail.ru
Детский сад «Алихан»,"ул. Нурпеисова, 204","87075555300, 87075555300",детский сад,Batyrhan.b@bk.ru
"Детский сад ""Сары Балапан""","ул. Тажибаева, 46","87076155683, 87076155683",детский сад,Sary.balapan.23@mail.ru
"Детский сад ""Малика-2023""","ул. Әшірбек Сығай, 84","87770306489, 87770306489",детский сад,Chudo.sad.18@mail.ru
"Детский сад ""Зейн""","ул. Сейдилда, 5","87076006648, 87052540136",детский сад,zeyin.sadik@gmail.com
"Детский сад ""AGANIN KIDS""","ул. Жеруйык, 3/66","87774522255, 87774522255",детский сад,aganin.kids@mail.ru
"Детский сад ""Ziatker-2023""","ул. Сығай, 39","87071627374, 87071627374",детский сад,gulshat-018@mail.ru
"Детский сад ""Top Kids 2""","ул. Кенжетаев, 119","87077808184, 87077808184",детский сад,aigera_juman@mail.ru
"Детский сад ""Аяла kids""","ул. Береке, 2/13","87782287347, 87272639365",детский сад,aptekaplus_24@mail.ru
"Детский сад ""Gulder kids""","ул. Даулеткерея, 107","87755420931, 87755420931",детский сад,gulderkids@mail.ru
"Детский сад ""Аңсаған-К""","ул. Ашимова, 343/2","87784909788, 87784909788",детский сад,dariga.kunai@mail.ru
"Детский сад ""Er-Asul""","ул. Жунисова, 73","87772812266, 87772812266",детский сад,dana_74@mail.ru
"Детский сад ""МЕРЕЙ ОБРАЗОВАТЕЛЬНЫЙ ЦЕНТР""","ул. Кенбаева, 22","87752285094, 87752285094",детский сад,aida.zhaylimicova@mail.ru
"Детский сад ""Happy kids home""","ул. Дала, 80","87478877720, 87478877720",детский сад,13kids@bk.ru
"Детский сад ""Би- Тұмар""","ул. Камысдала, 27","87471422225, 87015525565",детский сад,tolkyn-80-01@mail.ru
"Детский сад ""CӘТ-БЕРЕКЕ""","ул. Жунисова, 134/80","87079826412, 87057218939",детский сад,akzeresadik@mail.ru
"Детский сад ""Top Kids""","ул. Кенжетаев, 121","87074033737, 87074033737",детский сад,Topkids.kz@yandex.ru
"Детский сад ""Алтын Бала И К""","ул. Тарғап, 115","87072718841, 87273602002",детский сад,zhuldyz_altyn@mail.ru
"Детский сад ""Young Scholars Academy""","ул. Зеленая, 7","87079558479, 87005052404",детский сад,ysa.almaty@gmail.com
"Детский сад ""SUNSHINE 2""","ул. Актамберды жырау, 3","87072718841, 87072718841",детский сад,zhuldyz_altyn@mail.ru
"Детский сад ""AzaleaM""","ул. Герольда Бельгера, 55","87078172392, 87078172392",детский сад,azalea2021@mail.ru
"Детский сад ""Aizere 2020""","ул. Жунисова, 2/87","87071115830, 87071115830",детский сад,sadik.aizere2020@mail.ru
"Детский сад ""ErnarRai""","ул. Аханова, 71","87087055555, 87787779993",детский сад,baekova_1993_kz@mail.ru
"Детский сад ""Муслимхан""","ул. Аширбек Сыгай, 47","87076180807, 87076180807",детский сад,botakoz.taskaraeva@gmail.ru
"Детский сад ""Зейінді бала""","ул. Сейтметова, 129","87789777729, 87789777729",детский сад,aigera_juman@mail.ru
"Детский сад ""Нұр Бөбегі и К""","ул. Бердибай, 12","87013779907, 87013779907",детский сад,nurbobegi@mail.ru
"Мини-центр ""Альимран""","ул. Жидели, 17","87474627522, 87273609466",дошкольный мини-центр,alimran71@mail.ru
"Центр детского развития ""Раяна"", филиал","ул. Кенжетаева, 85","87012098004, 87012098004",детский сад,asultankhan@mail.ru
"Детский сад ""Жан-ұя kids""","ул. Кенесары хан, 52","87027711040, 87027711040",детский сад,Zhan_uya-kids@mail.ru
"Детский сад ""Планета счастья""","ул. Тополёвая, 43/44","87013800708, 87013800708",дошкольный мини-центр,happyplanetkz@mail.ru
"Детский сад ""Rauan""","ул. 7 линия, 103","87024023228, 87272270084",детский сад,rauan.sadik@bk.ru
"Детский сад ""КАМАЖАЙ 1""","ул. Озерная, 10","87015577986, 87015577986",детский сад,aizhan_bart@mail.ru
"Детский сад ""Уялы Балапан""","ул. Мынжылкы, 1","87776235395, 87711057473",детский сад,balabaksha-balapan.kz@mail.ru
"Детский сад ""Родничок-5""","ул. Аскарова, 13","87074447604, 87074447604",детский сад,sadikrodnichok2@mail.ru
"Детский сад ""Айымсұлу""","ул. Сагдиева, 63","87778210885, 87778210885",детский сад,Begim-94-94@mai.ru
"Мини-центр ""Медина-лидер""","ул. Диқан, 21","87714698771, 87273985424",дошкольный мини-центр,medina_lider@mail.ru
"Детский сад ""Мамино счастье""","ул. Жакыпбаева, 14","87756229406, 87756229406",детский сад,bektemiselena@gmail.com
"Детский сад ""Marzia ana""","ул. Жуалы, 163","87017396386, 87786894114",детский сад,balabaqsha_marzia_ana@mail.ru
"Детский сад ""Ұлан""","ул. Дархан, 36","87780999957, 87074857002",детский сад,too_ulan2022@mail.ru
"Ясли-сад ""Sabi land Almaty""","ул. Рыскулова, 115","87479213913, 87273394978",детский сад,sabilandalmaty2022@gmail.com
"Детский сад ""Unicoomkids""","ул. Жунисова, 61","87078149193, 87078149193",дошкольный мини-центр,margarita-kamens@mail.ru
"Детский сад ""Радуга 2""","ул. Таргап, 109","87077760206, 87273602006",дошкольный мини-центр,83sairan@gmail.com
"Мини-центр ""Чудо-детки""","ул. Таргап, 111","87758940486, 87758940486",дошкольный мини-центр,maruan74@mail.ru
"Мини-центр ""Медина-А""","Территория СТ Весна 65, 60","87754887997, 87273079885",дошкольный мини-центр,ms.ms.Laura@mail.ru
"Мини-центр ""Нұрбала"" (филиал - 1)","ул. Аспандиярова, 181","87071410741, 87071410741",дошкольный мини-центр,dixonti_89@mail.ru
"Мини-центр ""МерейАН""","ул. Актамберды жырау, 10","87074437790, 87074437790",дошкольный мини-центр,merey.detskiysad@mail.ru
"Ясли-сад ""Аружан""","ул. Лапина, 39","87473749939, 87473749939",дошкольный мини-центр,too_aruzhan@mail.ru
"Детский сад ""Happy kids""","ул. Балбыраун, 71","87750522202, 87273072070",детский сад,alsani@mail.ru
"Детский сад ""Нұрлы Таң-1""","ул. Балакаева, 65","87474070320, 87474070320",детский сад,rumil9_Bekbasarova@mail.ru
"Детский сад ""Бала-Дария""","ул. Айбергенова, 92","87784617967, 88778461796",детский сад,bala-daria@mail.ru
"Детский сад ""Балапандар""","ул. Арман, 101Б","87074377740, 87071115830",дошкольный мини-центр,aiganym1523@mail.ru
"Детский сад ""Актыным""","ул. Жунисова, 53","87751063787, 87272788823",детский сад,aigera_juman@mail.ru
"Детский сад ""Сұңқар""","ул. Айбергенова, 92","87029685555, 87029685555",детский сад,a.sauletai@mail.ru
"Детский сад ""Нұр Дария""","ул. Айбергенова, 45","87073039907, 87073039907",детский сад,nurdariya.detsad@mail.ru
"Детский сад ""Айдария""","ул. Сагдиев, 59","87057998939, 87272973667",детский сад,Aidarya_777@mail.ru
"Детский сад при воспитательном центре ""Ақбота"" (филиал)","ул. Жуалы, 41","87714154169, 87272331650",детский сад,V.Akbota_2016@mail.ru
"Детский сад ""АЙЛЫ АМИРЛАН""","ул. Аширбек Сыгай, 99","87055555514, 87055555514",детский сад,amirlan@mail.ru
"Детский сад ""Тамирис""","ул. Кенесары-Хан, 116","87013692855, 87272995636",детский сад,cvetlaha69@mail.ru
"Детский сад ""Талшын""","ул. Сейитбекова, 43","87715715551, 87715715551",детский сад,musali_77@mail.ru
Детский сад «Бала- Дария» филиал,"ул. Аширбек Сыгай, 55","87784617967, 88727385863",детский сад,baia-daria@mail.ru
"Детский сад ""Асылым""","ул. Ашимова, 259","87472414887, 87472414887",детский сад,ainash.knk@mail.ru
"Детский сад ""Салима-ДК Колибри""","ул. Талжанова, 52","87059063256, 87273672352",детский сад,kolibri.club@mail.ru
"Детский сад ""АЯНАТ""","ул. Аскарова, 28","87076604700, 87076604700",детский сад,aige_92@mail.ru
"Детский сад ""Дария Айша""","ул. Қыдырбеков, 60/1","87479386365, 87078788009",детский сад,Daria-aishasad@mail.ru
"Мини-центр ""Ақбота""","ул. Кали Надырова, 59","87018086616, 87273072996",дошкольный мини-центр,aqbotabaqsha@mail.ru
"Мини-центр ""Леопольд""","мкр. Астана, 38","87078347263, 87078347263",дошкольный мини-центр,ibraev_berik@mail.ru
"Мини-центр ""ABA progress""","ул. Жунисова, 81","87077767631, 87077767631",дошкольный мини-центр,abaprogress2022@gmail.com
"Детский сад ""ALATAU""","ул. Афцинао, 11","87071601565, 87071601565",детский сад,a.a.a_u@mail.ru
"Детский клуб ""Балдаурен""","ул. Сланова, 2","87013692855, 87013692855",детский сад,cvetlaha69@mail.ru
"Детский сад ""Айжан-Ырыс""","ул. Сагатова, 4а","87783459668, 87783459668",детский сад,detskiysad.ayzhan@mail.ru
"Детский сад ""QULYNSHAQ""","ул. Кыдырова, 18","87016006839, 87273818570",детский сад,Liazat888@mail.ru
"Мини-центр ""АВС+(эй би си плюс)""","ул. Бельгера, 59","87475542948, 87475542948",дошкольный мини-центр,abc888.abc@mail.ru
"Детский сад ""MARY POPPINS""","ул. Кали-Надырова, 98/1","87775498787, 87775498787",детский сад,danik777@inbox.ru
"Детский сад ""ЛИМПОПО""","ул. Аширбек Сыгай, 71","87078397376, 87272450671",детский сад,aldamiram@mail.ru
"Детский сад ""Дәстүр"" (филиал №3)","ул. Сейтметова, 16","87014509494, 87272264521",детский сад,z_akbota_88@mail.ru
"Детский сад ""БАТЫР-ШИФА""","ул. Кали Надырова, 4","87755167492, 87273050026",детский сад,abatyrhan12@mail.ru
"Детский сад ""Бағдаршам""","ул. Сагдиева, 87В","87002002258, 87002002258",детский сад,aigera_juman@mail.ru
"Детский сад ""Smart Children""","ул. Таргап, 111","87475295401, 87475295401",детский сад,syrlybaeva95@inbox.ru
Детский сад «АВС childcare»,"ул. Коркем, 3","87017440659, 87017264715",детский сад,aisha.ablaeva@mail.ru
"Мини-центр ""Нурлы шын""","ул. Таргап, 13","87075844848, 87075844848",дошкольный мини-центр,meruert.ossenova@mail.ru
"Детский сад ""Балапан""","ул. Жалкамыс, 1","87017583003, 87273720311",детский сад,rushka_d@mail.ru
"Детский сад ""Нұрбөпе""","ул. Герольда Бельгера, 57/1","87475989737, 87272970058",детский сад,miran.61@mail.ru
"Детский сад ""Ерсинтай""","ул. Аспандиярова, 83","87777760677, 87777760677",детский сад,Aerniyazova85@mail.ru
"Детский сад ""ЖАСДИМЕЙР""","ул. Кыдырова, 13","87471586809, 87273867142",детский сад,erlan_mgm@mail.ru
"Детский сад ""Кенгуренок-А""","ул. Сейтметова, 87","87086090072, 87083035009",детский сад,kengurenok@mail.ru
"Детский сад ""Нұрбала"" (филиал)","ул. Гроза, 141","87071410741, 87071410741",детский сад,nurbala@mail.ru
"Мини-центр ""Баракат 2017""","ул. Таргап, 122","87772506787, 87272441155",дошкольный мини-центр,myshka1987@mail.ru
"Детский сад ""Данышпан Алматы""","ул. Нурпеисова, 27а","87071156514, 87071156514",детский сад,aynurapesh333@gmail.com
"Детский сад ""Peekaboo""","ул. Таргап, 49","87074650727, 87074650727",детский сад,liazzat.orazbaieva.1972@mail.ru
"Детский сад ""Integral""","ул. Арман, 168","87077121561, 87273938684",детский сад,nurmatova.bakhytzhan@gmail.com
"Мини-центр ""Balazhan.kz""","ул. Айбергенова, 38А","87029685555, 87029685555",дошкольный мини-центр,a.sauletai@mail.ru
"Мини-центр ""Кошаканым""","ул. Сығай, 88","87781728258, 87781728258",дошкольный мини-центр,tolkyn111014@gmail.com
"Детский сад ""Бал-Дарын""","ул. Дала, 129","87774709589, 87774709589",детский сад,Aidar7770777@mail.ru
"Мини-центр ""Ақ Қайың 2017""","ул. Кабылбаева, 91","87089739239, 87089739239",дошкольный мини-центр,tilegenova2018@mail.ru
"Детский сад ""Бала шак""","ул. Акбата, 68","87016120404, 87272970060",детский сад,balashak.detskiysad@mail.ru
"Мини-центр ""Али-Ару""","ул. Усенова, 10","87751909452, 87751909452",дошкольный мини-центр,aigera_juman@mail.ru
"Мини-центр ""NG-CENTER""","ул. Мусабаева, 24","87017088182, 87017088182",дошкольный мини-центр,ngcenter@mail.ru
"Детский сад ""Сарқыт-А""","ул. Болатхан Тайжан, 29","87782222771, 87782222771",детский сад,Makpal.saparovna@bk.ru
"Детский сад ""Ақ-Аянұр""","ул. Ибрая Жакаева, 85","87477061185, 87053356915",детский сад,zainibakieva@mail.ru
"Детский сад ""Баттыл""","ул. Қарлығаш, 7","87773589687, 87773589687",детский сад,g.spanova@inbox.ru
Детский сад «АЙГОЛЕК-1»,"ул. Сейтметов, 102","87013600821, 87021746171",детский сад,toty.zhadauova@mail.ru
"Детский сад ""Ади""","ул. Даулеткерей, 25","87076270778, 87076270778",детский сад,anastasi.kiseleva.80@bk.ru
"Мини-центр ""БАЛАУСА-2018""","ул. 7-я линия, 105","87051166207, 87007247471",дошкольный мини-центр,balausa-2018@inbox.ru
"Детский сад ""Bаmbino""","ул. Кыдырбекова, 60/1","87777760677, 87273604206",детский сад,ersintai@mail.ru
"Детский сад "" Радуга""","ул. Таргап, 11","87077760206, 87273602006",детский сад,83sairan@gmail.com
"Детский сад ""Жануя""","ул. Бекешева, 4","87011894543, 87272392482",детский сад,bzhanuya@mail.ru
"Детский сад ""Нұрлы таң-1"" (филиал)","ул. Айтей Батыра, 68","87474070320, 87474070320",дошкольный мини-центр,rumil9_bekbasarova@mail.ru
"Детский сад ""Jungle kids""","ул. Абилова, 2","87782682023, 87782682023",дошкольный мини-центр,too.rakhel@mail.ru
"Мини-центр ""АБВГДейка+""","ул. Сарбайская, 69","87015567771, 87272346090",дошкольный мини-центр,advt2012@inbox.ru
Центр дошкольного воспитания «Sky Rainbow»,"ул. Карибжанова, 82","87072328415, 87272604715",детский сад,oliga2000@mail.ru
"Мини центр ""Солнышко kz""","ул. Татибекова, 59/33","87758976758, 87273742575",дошкольный мини-центр,radik_avakriyev@mail.ru
"Детский сад ""The Apple Tree International School""","ул. Курмангалиев, 42","87017223394, 87272939199",детский сад,info.komhot.preschool@gmail.com
"Мини-центр ""Бейбарыс""","ул. Луганского, 89","87078028876, 87272976362",дошкольный мини-центр,zhexembekova1962@mail.ru
"Детский сад ""Адеми""","ул. Луганского, 151","87772733710, 87272635747",детский сад,galinadoljenko@mail.ru
"Детский сад ""babycare1""","ул. Кастеева, 74","87015144134, 87272911161",детский сад,babycare2014@mail.ru
"Мини-центр ""Mikosha""","ул. Чимбулакская, 9","87713371057, 87273966578",дошкольный мини-центр,sad.mikosha@gmail.com
Центр дошкольного образования «Айголек»,"ул. Ақмешіт, 10/57","87015999888, 87272626453",дошкольный мини-центр,zhanna-nurlan@mail.ru
"Мини-центр ""АДИЭ""","ул. Шахтинская, 12","87756543388, 87019880738",дошкольный мини-центр,Despina_xxx@mail.ru
"Детский сад ""SymLynn""","ул. Затаевича, 77","87478183253, 87057709179",детский сад,info@oaa.kz
"Детский сад ""Koktobe""","ул. Найманбаева, 95","87012328261, 87272279898",детский сад,INFO2@KOKTOBEBALA.KZ
"Детский сад ""Балбөбек""","Территория СТ Жетысу, 39","87755962154, 87272471760",детский сад,balbobek.too@gmail.com
"Детский сад при ""Гимназия имени Марзии Турлыхановой""","ул. Шукшина, 87","87051009087, 87272609017",детский сад,balabaksha@bk.ru
"Детский сад ""Батыр Ел""","ул. Верненская, 73","87076680260, 87273846832",детский сад,tastanova_00@mail.ru
"Детский сад ""Ботақан""","ул. Есенберлина, 155","87055529393, 87272802065",детский сад,botakan.bala@mail.ru
"Мини-центр ""Радость Плюс""","ул. Елебекова, 12/1","87017150243, 87272620888",дошкольный мини-центр,lyazzat_1978@mail.ru
"Детский сад ""Kaz Бизнес Консалтинг""","ул. Ульяновская, 32","87012189232, 87272238089",детский сад,kunsuak1@mail.ru
"Детский сад ""My kid""","ул. Аманжола, 54","87021114630, 87021114630",детский сад,medeo.109@mail.ru
"Детский сад ""Lucky kids""","ул. Байтасова, 45А","87071056113, 87071056113",детский сад,lucky-kids@inbox.ru
"Ясли-сад ""Мирас""","ул. Зенкова, 52","87011497131, 87272221751",ясли-сад,info@miras-kids.kz
"Детский сад ""Alishka""","ул. Янушкевича, 49","87071880106, 87071880106",детский сад,detsad.alisha@bk.ru
"Центр детского развития ""Раяна""","ул. Чаплина, 25","87012098004, 87272425388",ясли-сад,toocdrrayana@mail.ru
"Детский сад при ""Частная школа ""Сенiм""","ул. Шашкин, 32а","87013729028, 87273286629",детский сад,senimschool@mail.ru
"Детский сад ""Панда""","ул. Орманова, 32 А","87073203464, 87073203464",детский сад,panda-panda-17@mail.ru
"Детский сад ""Айбар Жұлдыз""","ул. Алтын емел, 2","87071112220, 87272393774",детский сад,Aybar.zhuldyz@mail.ru
"Детский сад ""Rani""","ул. Жиренше, 75а","87019999495, 87272339497",детский сад,k.sulushash@mail.ru
"Детский сад ""ErnarRai""","ул. Шакшак Жанибека, 45/1","87058757529, 87273992587",детский сад,raigul.79ahm.9@bk.ru
"Детский сад ""Нұр-Айбек""","Улица Каркаралы, 27а","87028169977, 87272399307",детский сад,baxosh_2009@mail.ru
"Детский сад ""NZ - Partnership""","ул. Шухова, 2","87777042005, 87777042005",детский сад,berdibaev@mail.ru
"Детский сад ""Baby Town""","ул. Орманова, 119","87071112220, 87273852856",детский сад,info@babytown.kz
"Детский сад ""I-NAZ KIDS""","ул.Шакшак Жанибека, 45/2","87018448740, 87273992587",детский сад,nurbekova_gaziza@mail.ru
